id,plaintext
http://mus.utu.fi/ZMUT.CCT1-141022,CCT1-141022
http://mus.utu.fi/ZMUT.CCT1-141104,CCT1-141104
http://mus.utu.fi/ZMUT.CCT1-141118,CCT1-141118
http://mus.utu.fi/ZMUT.CCT1-141202,CCT1-141202
http://mus.utu.fi/ZMUT.CCT1-141215,CCT1-141215
http://mus.utu.fi/ZMUT.CCT1-141229,CCT1-141229
http://mus.utu.fi/ZMUT.CCT1-150113,CCT1-150113
http://mus.utu.fi/ZMUT.CCT1-150127,CCT1-150127
http://mus.utu.fi/ZMUT.CCT1-150210,CCT1-150210
http://mus.utu.fi/ZMUT.CCT1-150224,CCT1-150224
http://mus.utu.fi/ZMUT.CCT1-150310,CCT1-150310
http://mus.utu.fi/ZMUT.CCT1-150324,CCT1-150324
http://mus.utu.fi/ZMUT.CCT1-150407,CCT1-150407
http://mus.utu.fi/ZMUT.CCT1-150421,CCT1-150421
http://mus.utu.fi/ZMUT.CCT1-150505,CCT1-150505
http://mus.utu.fi/ZMUT.CCT1-150519,CCT1-150519
http://mus.utu.fi/ZMUT.CCT1-150602,CCT1-150602
http://mus.utu.fi/ZMUT.CCT1-150617,CCT1-150617
http://mus.utu.fi/ZMUT.CCT1-150630,CCT1-150630
http://mus.utu.fi/ZMUT.CCT1-150714,CCT1-150714
http://mus.utu.fi/ZMUT.CCT1-150728,CCT1-150728
http://mus.utu.fi/ZMUT.CCT1-150811,CCT1-150811
http://mus.utu.fi/ZMUT.CCT1-150825,CCT1-150825
http://mus.utu.fi/ZMUT.CCT1-150911,CCT1-150911
http://mus.utu.fi/ZMUT.CCT2-141022,CCT2-141022
http://mus.utu.fi/ZMUT.CCT3-141022,CCT3-141022
http://mus.utu.fi/ZMUT.CCT3-141104,CCT3-141104
http://mus.utu.fi/ZMUT.CCT3-141118,CCT3-141118
http://mus.utu.fi/ZMUT.CCT3-141202,CCT3-141202
http://mus.utu.fi/ZMUT.CCT3-141215,CCT3-141215
http://mus.utu.fi/ZMUT.CCT3-141229,CCT3-141229
http://mus.utu.fi/ZMUT.CCT3-150113,CCT3-150113
http://mus.utu.fi/ZMUT.CCT3-150127,CCT3-150127
http://mus.utu.fi/ZMUT.CCT3-150210,CCT3-150210
http://mus.utu.fi/ZMUT.CCT3-150224,CCT3-150224
