"id","sex","taxon","event","lat","lon","ele","coordinateNotes","label","start","end","sample","trap","site","NA"
"10205","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/7 232",1998-11-16,1998-12-01,"a2-7","a2","clay","Amazon 1998"
"10206","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/7 102",1998-11-16,1998-12-01,"a2-7","a2","clay","Amazon 1998"
"10207","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/5 114
23
99. [or 66?]",1998-10-16,1998-11-01,"a1-5","a1","clay","Amazon 1998"
"10208","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/5 074
23
87",1998-10-16,1998-11-01,"a1-5","a1","clay","Amazon 1998"
"10209","M","Syzeuctus sp3","Amazon 1998","","","","","24
PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/5 276
89 [or 68?]",1998-10-16,1998-11-01,"a2-5","a2","clay","Amazon 1998"
"10210","M","Syzeuctus sp3","Amazon 1998","","","","","24
PERU, Dept. of Loreto Iquitos area, Mishana 16.10-1.11.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/5 277
85",1998-10-16,1998-11-01,"a2-5","a2","clay","Amazon 1998"
"10211","M","Syzeuctus sp3","Amazon 1998","","","","","27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 318
98. [or 86?]",1998-12-16,1999-01-01,"a1-9","a1","clay","Amazon 1998"
"10212","M","Syzeuctus sp3","Amazon 1998","","","","","27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 316
92",1998-12-16,1999-01-01,"a1-9","a1","clay","Amazon 1998"
"10213","M","Syzeuctus sp3","Amazon 1998","","","","","27
PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 319
88",1998-12-16,1999-01-01,"a1-9","a1","clay","Amazon 1998"
"10214","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.12-1.1.1999, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/9 167",1998-12-16,1999-01-01,"a1-9","a1","clay","Amazon 1998"
"10215","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 359",1998-12-01,1998-12-16,"a1-8","a1","clay","Amazon 1998"
"10216","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 217",1998-12-01,1998-12-16,"a1-8","a1","clay","Amazon 1998"
"10217","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 123",1998-12-01,1998-12-16,"a1-8","a1","clay","Amazon 1998"
"10218","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A1/8 156",1998-12-01,1998-12-16,"a1-8","a1","clay","Amazon 1998"
"10219","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, clayish soil I.E.S., R.J. et al. leg. Malaise t., APHI A1/7 087",1998-11-16,1998-12-01,"a1-7","a1","clay","Amazon 1998"
"10220","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.12.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI A2/8 240",1998-12-01,1998-12-16,"a2-8","a2","clay","Amazon 1998"
"10221","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.12.1998-1.1.1999, clay Malaise trap UTU-ART leg. APIH A2/9 302
17
86 [or 98?]",1998-12-16,1999-01-01,"a2-9","a2","clay","Amazon 1998"
"10222","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/7 091
19
93",1998-11-16,1998-12-01,"b2-7","b2","sand","Amazon 1998"
"10223","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 16.11-1.12.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/7 016
19
94",1998-11-16,1998-12-01,"b2-7","b2","sand","Amazon 1998"
"10224","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Mishana 1-16.11.1998, varillal I.E.S., R.J. et al. leg. Malaise t., APHI B2/6 035",1998-11-01,1998-11-16,"b2-6","b2","sand","Amazon 1998"
"10225","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 4-18.9.1998, clay I.E.S., R.J. et al. leg. Malaise t., APHI C2/2 061",1998-09-04,1998-09-18,"c2-2","c2","clay","Amazon 1998"
"10226","M","Syzeuctus sp3","Amazon 1998","","","","","PERU, Dept. of Loreto Iquitos area, Allpahuayo 17.12-20.1.1998, clay I.E.S., R.J. et al. leg. Malaise trap, APHI, C2/9",1998-12-17,1999-01-20,"c2-9","c2","clay","Amazon 1998"
